AGE;MATI;JML_DEPLESI;CUM_DEPLESI_%;STD_CUM_DEPLESI_%;PAKAN_STD_ZAK;PAKAN_STD_GR/EK;PAKAN_STD_CUM_GR/EK;PAKAN_ACT_ZAK;PAKAN_ACT_CUM_ZAK;PAKAN_ACT_GR/EK;PAKAN_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_GR/EKOR;DELTA_PAKAN_CUM_GR/EKOK;ABW_STD;DG_STD;ABW_ACT;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;SUHU_MIN;SUHU_MAX;KELEMBABAN;JUMLAH_AYAM_AKHIR;JUMLAH_AYAM_AWAL;PERIODE;FCR_ACT_lag_1;FCR_ACT_lag_2;FCR_ACT_lag_3;FCR_ACT_lag_7;FCR_ACT_lag_14;PAKAN_ACT_GR/EK_lag_1;PAKAN_ACT_GR/EK_lag_2;PAKAN_ACT_GR/EK_lag_3;PAKAN_ACT_GR/EK_lag_7;PAKAN_ACT_GR/EK_lag_14;DG_ACT_lag_1;DG_ACT_lag_2;DG_ACT_lag_3;DG_ACT_lag_7;DG_ACT_lag_14;SUHU_MAX_lag_1;SUHU_MAX_lag_2;SUHU_MAX_lag_3;SUHU_MAX_lag_7;SUHU_MAX_lag_14;SUHU_MIN_lag_1;SUHU_MIN_lag_2;SUHU_MIN_lag_3;SUHU_MIN_lag_7;SUHU_MIN_lag_14;KELEMBABAN_lag_1;KELEMBABAN_lag_2;KELEMBABAN_lag_3;KELEMBABAN_lag_7;KELEMBABAN_lag_14;MATI_lag_1;MATI_lag_2;MATI_lag_3;MATI_lag_7;MATI_lag_14;JML_DEPLESI_lag_1;JML_DEPLESI_lag_2;JML_DEPLESI_lag_3;JML_DEPLESI_lag_7;JML_DEPLESI_lag_14;PAKAN_ACT_GR/EK_rolling_mean_3;PAKAN_ACT_GR/EK_rolling_std_3;PAKAN_ACT_GR/EK_rolling_min_3;PAKAN_ACT_GR/EK_rolling_max_3;PAKAN_ACT_GR/EK_rolling_mean_7;PAKAN_ACT_GR/EK_rolling_std_7;PAKAN_ACT_GR/EK_rolling_min_7;PAKAN_ACT_GR/EK_rolling_max_7;PAKAN_ACT_GR/EK_rolling_mean_14;PAKAN_ACT_GR/EK_rolling_std_14;PAKAN_ACT_GR/EK_rolling_min_14;PAKAN_ACT_GR/EK_rolling_max_14;DG_ACT_rolling_mean_3;DG_ACT_rolling_std_3;DG_ACT_rolling_min_3;DG_ACT_rolling_max_3;DG_ACT_rolling_mean_7;DG_ACT_rolling_std_7;DG_ACT_rolling_min_7;DG_ACT_rolling_max_7;DG_ACT_rolling_mean_14;DG_ACT_rolling_std_14;DG_ACT_rolling_min_14;DG_ACT_rolling_max_14;PAKAN_DG_RATIO;SUHU_KELEMBABAN_INTERACTION;STRESS_INDEX;PAKAN_ACT_GR/EK_momentum_1;PAKAN_ACT_GR/EK_acceleration;DG_ACT_momentum_1;DG_ACT_acceleration;HEALTH_STATUS_SCORE
18;12;146;0.75;2.31;39.0;102;1036;40;392;103.3;1010.1;1.0;1;-26;830;74;847.0;74;17;0;1.249;1.193;-0.056;343;391;26;28;55;19354;19500;7;1.173;1.156;1.156;1.077;0.706;95.5;87.7;82.5;61.8;28.3;71.0;76.0;67.0;49.0;24.0;28.0;28.0;28.0;30.0;32.0;26.0;26.0;26.0;28.0;30.0;55.0;55.0;55.0;60.0;65.0;10.0;11.0;6.0;2.0;10.0;134.0;124.0;113.0;84.0;47.0;95.5;7.8;87.7;103.3;83.629;12.879;67.0;103.3;65.529;21.8;33.4;103.3;73.667;2.517;71.0;76.0;64.714;9.621;53.0;76.0;51.143;16.705;24.0;76.0;1.396;1540;110;7.8;0.0;3.0;8.0;35.2
19;19;165;0.85;2.44;41.0;106;1142;41;433;106.0;1116.1;0.0;0;-26;908;77;926.0;79;18;2;1.259;1.205;-0.054;378;401;26;28;55;19335;19500;7;1.193;1.173;1.156;1.097;0.782;103.3;95.5;87.7;67.0;33.4;74.0;71.0;76.0;54.0;30.0;28.0;28.0;28.0;30.0;32.0;26.0;26.0;26.0;28.0;30.0;55.0;55.0;55.0;60.0;65.0;12.0;10.0;11.0;4.0;2.0;146.0;134.0;124.0;88.0;49.0;101.6;5.453;95.5;106.0;89.2;12.922;72.1;106.0;70.714;22.201;38.6;106.0;74.667;4.041;71.0;79.0;68.286;9.621;53.0;79.0;54.643;17.064;24.0;79.0;1.342;1540;110;2.7;-5.1;5.0;2.0;42.5
20;11;176;0.9;2.57;44.0;114;1256;45;478;116.4;1232.5;1.0;2;-23;967;80;1011.0;85;44;5;1.272;1.219;-0.053;383;411;26;28;55;19324;19500;7;1.205;1.193;1.173;1.114;0.889;106.0;103.3;95.5;72.1;38.6;79.0;74.0;71.0;58.0;24.0;28.0;28.0;28.0;30.0;32.0;26.0;26.0;26.0;28.0;30.0;55.0;55.0;55.0;60.0;65.0;19.0;12.0;10.0;6.0;15.0;165.0;146.0;134.0;94.0;64.0;108.567;6.917;103.3;116.4;95.529;13.958;77.3;116.4;76.271;23.256;43.8;116.4;79.333;5.508;74.0;85.0;72.143;10.205;53.0;85.0;59.0;16.413;34.0;85.0;1.369;1540;110;10.4;7.7;6.0;1.0;40.7
21;10;186;0.95;2.7;46.0;120;1382;46;524;119.1;1351.6;0.0;-1;-30;1069;82;1082.0;71;13;-11;1.294;1.249;-0.045;387;409;26;28;55;19314;19500;7;1.219;1.205;1.193;1.147;0.938;116.4;106.0;103.3;77.3;43.8;85.0;79.0;74.0;53.0;37.0;28.0;28.0;28.0;30.0;32.0;26.0;26.0;26.0;28.0;30.0;55.0;55.0;55.0;60.0;65.0;11.0;19.0;12.0;13.0;10.0;176.0;165.0;146.0;107.0;74.0;113.833;6.917;106.0;119.1;101.5;13.8;82.5;119.1;81.65;23.868;46.3;119.1;78.333;7.024;71.0;85.0;74.714;5.964;67.0;85.0;61.429;15.391;34.0;85.0;1.677;1540;110;2.7;-7.7;-14.0;-20.0;42.2
22;16;202;1.04;2.83;49.0;126;1517;49;573;127.0;1478.6;0.0;1;-38;1153;84;1158.0;76;5;-8;1.137;1.277;0.14;391;408;24;26;50;19298;19500;7;1.249;1.219;1.205;1.156;0.994;119.1;116.4;106.0;82.5;46.3;71.0;85.0;79.0;67.0;34.0;28.0;28.0;28.0;28.0;30.0;26.0;26.0;26.0;26.0;28.0;55.0;55.0;55.0;55.0;60.0;10.0;11.0;19.0;6.0;3.0;186.0;176.0;165.0;113.0;77.0;120.833;5.508;116.4;127.0;107.857;13.839;87.7;127.0;87.414;24.412;51.5;127.0;77.333;7.095;71.0;85.0;76.0;4.899;71.0;85.0;64.429;13.625;42.0;85.0;1.671;1300;100;7.9;5.2;5.0;19.0;48.4
23;10;212;1.09;2.96;51.0;132;1656;51;624;132.2;1610.8;0.0;0;-45;1239;86;1255.0;97;16;11;1.337;1.284;-0.053;394;420;24;26;50;19288;19500;7;1.277;1.249;1.219;1.156;1.027;127.0;119.1;116.4;87.7;51.5;76.0;71.0;85.0;76.0;42.0;26.0;28.0;28.0;28.0;30.0;24.0;26.0;26.0;26.0;28.0;50.0;55.0;55.0;55.0;60.0;16.0;10.0;11.0;11.0;3.0;202.0;186.0;176.0;124.0;80.0;126.1;6.596;119.1;132.2;114.214;13.244;95.5;132.2;93.179;24.804;56.6;132.2;81.333;13.796;71.0;97.0;79.0;9.327;71.0;97.0;68.357;14.558;47.0;97.0;1.363;1300;100;5.2;-2.7;21.0;16.0;47.4
24;7;219;1.12;3.09;53.0;138;1803;54;678;140.0;1750.8;1.0;2;-52;1327;88;1344.0;89;17;1;1.36;1.303;-0.057;397;425;24;26;50;19281;19500;7;1.284;1.277;1.249;1.173;1.051;132.2;127.0;119.1;95.5;56.6;97.0;76.0;71.0;71.0;47.0;26.0;26.0;28.0;28.0;30.0;24.0;24.0;26.0;26.0;28.0;50.0;50.0;55.0;55.0;60.0;10.0;16.0;10.0;10.0;2.0;212.0;202.0;186.0;134.0;82.0;133.067;6.543;127.0;140.0;120.571;13.443;103.3;140.0;99.136;25.353;61.8;140.0;87.333;10.599;76.0;97.0;81.571;9.235;71.0;97.0;71.357;14.14;49.0;97.0;1.573;1300;100;7.8;2.6;-8.0;-29.0;47.3
25;7;226;1.16;3.22;56.0;144;1958;55;733;142.7;1893.5;-1.0;-1;-64;1418;90;1428.0;84;10;-6;1.382;1.326;-0.056;400;426;24;26;50;19274;19500;7;1.303;1.284;1.277;1.193;1.077;140.0;132.2;127.0;103.3;61.8;89.0;97.0;76.0;74.0;49.0;26.0;26.0;26.0;28.0;30.0;24.0;24.0;24.0;26.0;28.0;50.0;50.0;50.0;55.0;60.0;7.0;10.0;16.0;12.0;2.0;219.0;212.0;202.0;146.0;84.0;138.3;5.453;132.2;142.7;126.2;13.253;106.0;142.7;104.914;25.408;67.0;142.7;90.0;6.557;84.0;97.0;83.0;8.622;71.0;97.0;73.857;12.925;53.0;97.0;1.699;1300;100;2.7;-5.1;-5.0;3.0;48.7
26;7;233;1.19;3.35;58.0;150;2120;59;792;153.1;2046.6;1.0;3;-73;1510;92;1513.0;85;3;-7;1.405;1.353;-0.052;402;425;24;26;50;19267;19500;7;1.326;1.303;1.284;1.205;1.097;142.7;140.0;132.2;106.0;67.0;84.0;89.0;97.0;79.0;54.0;26.0;26.0;26.0;28.0;30.0;24.0;24.0;24.0;26.0;28.0;50.0;50.0;50.0;55.0;60.0;7.0;7.0;10.0;19.0;4.0;226.0;219.0;212.0;165.0;88.0;145.267;6.917;140.0;153.1;132.929;13.244;116.4;153.1;111.064;25.939;72.1;153.1;86.0;2.646;84.0;89.0;83.857;8.454;71.0;97.0;76.071;11.874;53.0;97.0;1.801;1300;100;10.4;7.7;1.0;6.0;50.1
27;4;237;1.22;3.4;60.0;156;2285;60;852;155.7;2202.4;0.0;0;-83;1604;94;1607.0;94;3;0;1.426;1.37;-0.056;404;429;24;26;50;19263;19500;7;1.353;1.326;1.303;1.219;1.114;153.1;142.7;140.0;116.4;72.1;85.0;84.0;89.0;85.0;58.0;26.0;26.0;26.0;28.0;30.0;24.0;24.0;24.0;26.0;28.0;50.0;50.0;50.0;55.0;60.0;7.0;7.0;7.0;11.0;6.0;233.0;226.0;219.0;176.0;94.0;150.5;6.879;142.7;155.7;138.543;13.399;119.1;155.7;117.036;25.902;77.3;155.7;87.667;5.508;84.0;94.0;85.143;9.299;71.0;97.0;78.643;11.553;53.0;97.0;1.656;1300;100;2.6;-7.8;9.0;8.0;49.4
28;5;242;1.24;3.61;62.0;162;2455;55;907;142.8;2345.2;-7.0;-19;-110;1698;95;1703.0;96;5;1;1.446;1.377;-0.069;405;436;24;26;50;19258;19500;7;1.37;1.353;1.326;1.249;1.147;155.7;153.1;142.7;119.1;77.3;94.0;85.0;84.0;71.0;53.0;26.0;26.0;26.0;28.0;30.0;24.0;24.0;24.0;26.0;28.0;50.0;50.0;50.0;55.0;60.0;4.0;7.0;7.0;10.0;13.0;237.0;233.0;226.0;186.0;107.0;150.533;6.822;142.8;155.7;141.929;10.304;127.0;155.7;121.714;24.02;82.5;155.7;91.667;5.859;85.0;96.0;88.714;7.61;76.0;97.0;81.714;9.793;67.0;97.0;1.487;1300;100;-12.9;-15.5;2.0;-7.0;50.9
29;0;242;1.24;3.74;65.0;168;2635;57;964;148.0;2493.1;-8.0;-20;-142;1794;96;1798.0;95;4;-1;1.47;1.387;-0.083;406;441;24;26;50;19258;19500;7;1.377;1.37;1.353;1.277;1.156;142.8;155.7;153.1;127.0;82.5;96.0;94.0;85.0;76.0;67.0;26.0;26.0;26.0;26.0;28.0;24.0;24.0;24.0;24.0;26.0;50.0;50.0;50.0;50.0;55.0;5.0;4.0;7.0;16.0;6.0;242.0;237.0;233.0;202.0;113.0;148.833;6.49;142.8;155.7;144.929;8.042;132.2;155.7;126.393;22.096;87.7;155.7;95.0;1.0;94.0;96.0;91.429;5.381;84.0;97.0;83.714;9.409;71.0;97.0;1.558;1300;100;5.2;18.1;-1.0;-3.0;48.4
30;13;255;1.31;3.87;67.0;173;2818;53;1017;137.7;2630.8;-14.0;-35;-187;1891;97;1877.0;79;-14;-18;1.491;1.402;-0.089;407;440;24;26;50;19245;19500;7;1.387;1.377;1.37;1.284;1.156;148.0;142.8;155.7;132.2;87.7;95.0;96.0;94.0;97.0;76.0;26.0;26.0;26.0;26.0;28.0;24.0;24.0;24.0;24.0;26.0;50.0;50.0;50.0;50.0;55.0;0.0;5.0;4.0;10.0;11.0;242.0;242.0;237.0;212.0;124.0;142.833;5.15;137.7;148.0;145.714;6.757;137.7;155.7;129.964;19.214;95.5;155.7;90.0;9.539;79.0;96.0;88.857;6.466;79.0;96.0;83.929;9.253;71.0;97.0;1.743;1300;100;-10.3;-15.5;-16.0;-15.0;57.5
31;7;262;1.34;4.0;68.0;178;3004;55;1072;142.9;2773.8;-13.0;-35;-230;1989;98;1977.0;100;-12;2;1.511;1.403;-0.108;408;448;24;26;50;19238;19500;7;1.402;1.387;1.377;1.303;1.173;137.7;148.0;142.8;140.0;95.5;79.0;95.0;96.0;89.0;71.0;26.0;26.0;26.0;26.0;28.0;24.0;24.0;24.0;24.0;26.0;50.0;50.0;50.0;50.0;55.0;13.0;0.0;5.0;7.0;10.0;255.0;242.0;242.0;219.0;134.0;142.867;5.15;137.7;148.0;146.129;6.429;137.7;155.7;133.35;16.683;103.3;155.7;91.333;10.97;79.0;100.0;90.429;7.721;79.0;100.0;86.0;9.381;71.0;100.0;1.429;1300;100;5.2;15.5;21.0;37.0;55.9
32;3;265;1.36;4.13;70.0;183;3201;57;1129;148.2;2922.0;-13.0;-35;-279;2087;99;2180.0;203;93;104;1.534;1.34;-0.194;408;501;24;26;50;19235;19500;7;1.403;1.402;1.387;1.326;1.193;142.9;137.7;148.0;142.7;103.3;100.0;79.0;95.0;84.0;74.0;26.0;26.0;26.0;26.0;28.0;24.0;24.0;24.0;24.0;26.0;50.0;50.0;50.0;50.0;55.0;7.0;13.0;0.0;7.0;12.0;262.0;255.0;242.0;226.0;146.0;142.933;5.25;137.7;148.2;146.914;6.275;137.7;155.7;136.557;14.655;106.0;155.7;127.333;66.365;79.0;203.0;107.429;42.751;79.0;203.0;95.214;32.226;71.0;203.0;0.73;1300;100;5.3;0.1;103.0;82.0;54.5
33;9;274;1.41;4.26;72.0;188;3403;62;1191;161.2;3083.2;-10.0;-27;-320;2187;100;2279.0;99;92;-1;1.556;1.353;-0.203;408;503;24;26;50;19226;19500;7;1.34;1.403;1.402;1.353;1.205;148.2;142.9;137.7;153.1;106.0;203.0;100.0;79.0;85.0;79.0;26.0;26.0;26.0;26.0;28.0;24.0;24.0;24.0;24.0;26.0;50.0;50.0;50.0;50.0;55.0;3.0;7.0;13.0;7.0;19.0;265.0;262.0;255.0;233.0;165.0;150.767;9.416;142.9;161.2;148.071;8.09;137.7;161.2;140.5;13.149;116.4;161.2;134.0;59.758;99.0;203.0;109.429;41.844;79.0;203.0;96.643;31.893;71.0;203.0;1.628;1300;100;13.0;7.7;-104.0;-207.0;59.3
1;8;8;0.04;0.1;8.0;18;18;8;8;19.0;19.0;0.0;1;1;56;14;60.0;22;4;8;0.321;0.317;-0.004;0;0;30;32;65;20992;21000;8;0.317;0.317;0.317;0.317;0.317;19.0;19.0;19.0;19.0;19.0;22.0;22.0;22.0;22.0;22.0;32.0;32.0;32.0;32.0;32.0;30.0;30.0;30.0;30.0;30.0;65.0;65.0;65.0;65.0;65.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;19.0;3.394;19.0;19.0;19.0;3.394;19.0;19.0;19.0;3.394;19.0;19.0;22.0;2.828;22.0;22.0;22.0;2.828;22.0;22.0;22.0;2.828;22.0;22.0;0.864;2080;130;4.8;-2.4;-4.0;5.0;5.6
2;2;10;0.05;0.23;9.0;22;40;10;18;23.8;42.8;1.0;2;3;73;17;78.0;18;5;1;0.549;0.549;0.0;0;0;30;32;65;20990;21000;8;0.317;0.317;0.317;0.317;0.317;19.0;19.0;19.0;19.0;19.0;22.0;22.0;22.0;22.0;22.0;32.0;32.0;32.0;32.0;32.0;30.0;30.0;30.0;30.0;30.0;65.0;65.0;65.0;65.0;65.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;21.4;3.394;19.0;23.8;21.4;3.394;19.0;23.8;21.4;3.394;19.0;23.8;20.0;2.828;18.0;22.0;20.0;2.828;18.0;22.0;20.0;2.828;18.0;22.0;1.322;2080;130;4.8;-2.4;-4.0;5.0;3.0
3;11;21;0.1;0.36;11.0;26;66;11;29;26.2;69.0;0.0;0;3;94;20;97.0;19;3;-1;0.711;0.712;0.001;0;0;30;32;65;20979;21000;8;0.549;0.317;0.317;0.317;0.317;23.8;19.0;19.0;19.0;19.0;18.0;22.0;22.0;22.0;22.0;32.0;32.0;32.0;32.0;32.0;30.0;30.0;30.0;30.0;30.0;65.0;65.0;65.0;65.0;65.0;2.0;8.0;8.0;8.0;8.0;10.0;8.0;8.0;8.0;8.0;23.0;3.666;19.0;26.2;23.0;3.666;19.0;26.2;23.0;3.666;19.0;26.2;19.667;2.082;18.0;22.0;19.667;2.082;18.0;22.0;19.667;2.082;18.0;22.0;1.379;2080;130;2.4;-2.4;1.0;5.0;9.7
4;4;25;0.12;0.49;13.0;30;96;13;42;31.0;100.0;0.0;1;4;117;24;121.0;24;4;0;0.826;0.827;0.001;0;0;30;32;65;20975;21000;8;0.712;0.549;0.317;0.317;0.317;26.2;23.8;19.0;19.0;19.0;19.0;18.0;22.0;22.0;22.0;32.0;32.0;32.0;32.0;32.0;30.0;30.0;30.0;30.0;30.0;65.0;65.0;65.0;65.0;65.0;11.0;2.0;8.0;8.0;8.0;21.0;10.0;8.0;8.0;8.0;27.0;3.666;23.8;31.0;25.0;4.996;19.0;31.0;25.0;4.996;19.0;31.0;20.333;3.215;18.0;24.0;20.75;2.754;18.0;24.0;20.75;2.754;18.0;24.0;1.292;2080;130;4.8;2.4;5.0;4.0;7.0
5;7;32;0.15;0.62;14.0;34;131;14;56;33.4;133.4;0.0;-1;2;144;27;148.0;27;4;0;0.914;0.901;-0.013;0;0;30;32;65;20968;21000;8;0.827;0.712;0.549;0.317;0.317;31.0;26.2;23.8;19.0;19.0;24.0;19.0;18.0;22.0;22.0;32.0;32.0;32.0;32.0;32.0;30.0;30.0;30.0;30.0;30.0;65.0;65.0;65.0;65.0;65.0;4.0;11.0;2.0;8.0;8.0;25.0;21.0;10.0;8.0;8.0;30.2;3.666;26.2;33.4;26.68;5.73;19.0;33.4;26.68;5.73;19.0;33.4;23.333;4.041;19.0;27.0;22.0;3.674;18.0;27.0;22.0;3.674;18.0;27.0;1.237;2080;130;2.4;-2.4;3.0;-2.0;9.9
6;10;42;0.2;0.75;16.0;38;170;16;72;38.2;171.6;0.0;0;2;174;30;178.0;30;4;0;0.979;0.964;-0.015;0;0;30;32;65;20958;21000;8;0.901;0.827;0.712;0.317;0.317;33.4;31.0;26.2;19.0;19.0;27.0;24.0;19.0;22.0;22.0;32.0;32.0;32.0;32.0;32.0;30.0;30.0;30.0;30.0;30.0;65.0;65.0;65.0;65.0;65.0;7.0;4.0;11.0;8.0;8.0;32.0;25.0;21.0;8.0;8.0;34.2;3.666;31.0;38.2;28.6;6.956;19.0;38.2;28.6;6.956;19.0;38.2;27.0;3.0;24.0;30.0;23.333;4.633;18.0;30.0;23.333;4.633;18.0;30.0;1.273;2080;130;4.8;2.4;3.0;0.0;13.4
7;3;45;0.21;0.68;18.0;43;210;18;90;42.9;214.5;0.0;0;5;205;33;212.0;34;7;1;1.029;1.012;-0.017;270;299;30;32;65;20955;21000;8;0.964;0.901;0.827;0.317;0.317;38.2;33.4;31.0;19.0;19.0;30.0;27.0;24.0;22.0;22.0;32.0;32.0;32.0;32.0;32.0;30.0;30.0;30.0;30.0;30.0;65.0;65.0;65.0;65.0;65.0;10.0;7.0;4.0;8.0;8.0;42.0;32.0;25.0;8.0;8.0;38.167;4.75;33.4;42.9;30.643;8.339;19.0;42.9;30.643;8.339;19.0;42.9;30.333;3.512;27.0;34.0;24.857;5.843;18.0;34.0;24.857;5.843;18.0;34.0;1.262;2080;130;4.7;-0.1;4.0;1.0;10.5
8;4;49;0.23;1.01;19.0;45;260;20;110;47.7;262.3;1.0;3;2;244;37;250.0;38;6;1;1.068;1.049;-0.019;268;297;28;30;60;20951;21000;8;1.012;0.964;0.901;0.317;0.317;42.9;38.2;33.4;19.0;19.0;34.0;30.0;27.0;22.0;22.0;32.0;32.0;32.0;32.0;32.0;30.0;30.0;30.0;30.0;30.0;65.0;65.0;65.0;65.0;65.0;3.0;10.0;7.0;8.0;8.0;45.0;42.0;32.0;8.0;8.0;42.933;4.75;38.2;47.7;34.743;8.707;23.8;47.7;32.775;9.796;19.0;47.7;34.0;4.0;30.0;38.0;27.143;7.448;18.0;38.0;26.5;7.131;18.0;38.0;1.255;1800;120;4.8;0.1;4.0;0.0;11.8
9;4;53;0.25;1.14;22.0;53;312;22;132;52.5;314.8;0.0;0;3;285;41;293.0;43;8;2;1.099;1.074;-0.025;274;302;28;30;60;20947;21000;8;1.049;1.012;0.964;0.549;0.317;47.7;42.9;38.2;23.8;19.0;38.0;34.0;30.0;18.0;22.0;30.0;32.0;32.0;32.0;32.0;28.0;30.0;30.0;30.0;30.0;60.0;65.0;65.0;65.0;65.0;4.0;3.0;10.0;2.0;8.0;49.0;45.0;42.0;10.0;8.0;47.7;4.8;42.9;52.5;38.843;9.424;26.2;52.5;34.967;11.278;19.0;52.5;38.333;4.509;34.0;43.0;30.714;8.281;19.0;43.0;28.333;8.646;18.0;43.0;1.221;1800;120;4.8;-0.0;5.0;1.0;12.6
10;4;57;0.27;1.27;23.0;56;372;24;156;57.3;372.1;1.0;1;0;330;45;335.0;42;5;-3;1.129;1.111;-0.018;281;301;28;30;60;20943;21000;8;1.074;1.049;1.012;0.712;0.317;52.5;47.7;42.9;26.2;19.0;43.0;38.0;34.0;19.0;22.0;30.0;30.0;32.0;32.0;32.0;28.0;28.0;30.0;30.0;30.0;60.0;60.0;65.0;65.0;65.0;4.0;4.0;3.0;11.0;8.0;53.0;49.0;45.0;21.0;8.0;52.5;4.8;47.7;57.3;43.286;9.793;31.0;57.3;37.2;12.765;19.0;57.3;41.0;2.646;38.0;43.0;34.0;7.371;24.0;43.0;29.7;9.226;18.0;43.0;1.364;1800;120;4.8;0.0;-1.0;-6.0;13.4
11;1;58;0.28;1.4;26.0;63;435;26;182;62.1;434.2;0.0;-1;-1;380;49;384.0;49;4;0;1.149;1.131;-0.018;289;308;28;30;60;20942;21000;8;1.111;1.074;1.049;0.827;0.317;57.3;52.5;47.7;31.0;19.0;42.0;43.0;38.0;24.0;22.0;30.0;30.0;30.0;32.0;32.0;28.0;28.0;28.0;30.0;30.0;60.0;60.0;60.0;65.0;65.0;4.0;4.0;4.0;4.0;8.0;57.0;53.0;49.0;25.0;8.0;57.3;4.8;52.5;62.1;47.729;10.331;33.4;62.1;39.464;14.248;19.0;62.1;44.667;3.786;42.0;49.0;37.571;7.764;27.0;49.0;31.455;10.511;18.0;49.0;1.267;1800;120;4.8;0.0;7.0;8.0;12.1
12;7;65;0.31;1.53;28.0;68;506;28;210;66.9;501.0;0.0;-1;-5;434;54;424.0;40;-10;-14;1.169;1.182;0.013;297;298;28;30;60;20935;21000;8;1.131;1.111;1.074;0.901;0.317;62.1;57.3;52.5;33.4;19.0;49.0;42.0;43.0;27.0;22.0;30.0;30.0;30.0;32.0;32.0;28.0;28.0;28.0;30.0;30.0;60.0;60.0;60.0;65.0;65.0;1.0;4.0;4.0;7.0;8.0;58.0;57.0;53.0;32.0;8.0;62.1;4.8;57.3;66.9;52.514;10.346;38.2;66.9;41.75;15.725;19.0;66.9;43.667;4.726;40.0;49.0;39.429;6.214;30.0;49.0;32.167;10.321;18.0;49.0;1.672;1800;120;4.8;0.0;-9.0;-16.0;16.5
13;3;68;0.32;1.68;31.0;73;584;30;240;71.7;572.7;-1.0;-1;-11;492;56;482.0;58;-10;2;1.186;1.188;0.002;305;311;28;30;60;20932;21000;8;1.182;1.131;1.111;0.964;0.317;66.9;62.1;57.3;38.2;19.0;40.0;49.0;42.0;30.0;22.0;30.0;30.0;30.0;32.0;32.0;28.0;28.0;28.0;30.0;30.0;60.0;60.0;60.0;65.0;65.0;7.0;1.0;4.0;10.0;8.0;65.0;58.0;57.0;42.0;8.0;66.9;4.8;62.1;71.7;57.3;10.369;42.9;71.7;44.054;17.195;19.0;71.7;49.0;9.0;40.0;58.0;43.429;7.913;34.0;58.0;34.154;12.206;18.0;58.0;1.236;1800;120;4.8;-0.0;18.0;27.0;15.1
14;8;76;0.36;1.79;33.0;78;668;32;272;76.5;649.2;-1.0;-2;-19;553;61;552.0;70;-1;9;1.208;1.176;-0.032;313;334;28;30;60;20924;21000;8;1.188;1.182;1.131;1.012;0.317;71.7;66.9;62.1;42.9;19.0;58.0;40.0;49.0;34.0;22.0;30.0;30.0;30.0;32.0;32.0;28.0;28.0;28.0;30.0;30.0;60.0;60.0;60.0;65.0;65.0;3.0;7.0;1.0;3.0;8.0;68.0;65.0;58.0;45.0;8.0;71.7;4.8;66.9;76.5;62.1;10.369;47.7;76.5;46.371;18.658;19.0;76.5;56.0;15.1;40.0;70.0;48.571;11.603;38.0;70.0;36.714;15.143;18.0;70.0;1.093;1800;120;4.8;0.0;12.0;-6.0;19.2
15;4;80;0.38;1.92;35.0;84;752;34;306;81.3;730.4;-1.0;-3;-22;618;65;622.0;70;4;5;1.219;1.174;-0.045;320;352;26;28;55;20920;21000;8;1.176;1.188;1.182;1.049;0.317;76.5;71.7;66.9;47.7;19.0;70.0;58.0;40.0;38.0;22.0;30.0;30.0;30.0;30.0;32.0;28.0;28.0;28.0;28.0;30.0;60.0;60.0;60.0;60.0;65.0;8.0;3.0;7.0;4.0;8.0;76.0;68.0;65.0;49.0;8.0;76.5;4.8;71.7;81.3;66.9;10.369;52.5;81.3;50.821;19.053;23.8;81.3;66.0;6.928;58.0;70.0;53.143;12.967;40.0;70.0;40.143;16.888;18.0;70.0;1.161;1540;110;4.8;0.0;0.0;-12.0;18.0
16;6;86;0.41;2.06;38.0;90;841;36;342;86.1;816.5;-2.0;-4;-24;685;68;695.0;73;10;5;1.229;1.175;-0.054;327;368;26;28;55;20914;21000;8;1.174;1.176;1.188;1.074;0.549;81.3;76.5;71.7;52.5;23.8;70.0;70.0;58.0;43.0;18.0;28.0;30.0;30.0;30.0;32.0;26.0;28.0;28.0;28.0;30.0;55.0;60.0;60.0;60.0;65.0;4.0;8.0;3.0;4.0;2.0;80.0;76.0;68.0;53.0;10.0;81.3;4.8;76.5;86.1;71.7;10.369;57.3;86.1;55.271;19.526;26.2;86.1;71.0;1.732;70.0;73.0;57.429;13.974;40.0;73.0;44.071;17.718;19.0;73.0;1.179;1540;110;4.8;0.0;3.0;3.0;20.2
17;5;91;0.43;2.18;40.0;96;936;40;382;95.7;912.1;0.0;0;-24;756;71;764.0;69;8;-2;1.239;1.194;-0.045;334;375;26;28;55;20909;21000;8;1.175;1.174;1.176;1.111;0.712;86.1;81.3;76.5;57.3;26.2;73.0;70.0;70.0;42.0;19.0;28.0;28.0;30.0;30.0;32.0;26.0;26.0;28.0;28.0;30.0;55.0;55.0;60.0;60.0;65.0;6.0;4.0;8.0;4.0;11.0;86.0;80.0;76.0;57.0;21.0;87.7;7.332;81.3;95.7;77.186;11.569;62.1;95.7;60.236;20.383;31.0;95.7;70.667;2.082;69.0;73.0;61.286;12.672;40.0;73.0;47.643;17.31;24.0;73.0;1.387;1540;110;9.6;4.8;-4.0;-7.0;20.7
